platform	i	mumps	measles	oropouche_m	RSV-A	mpox
linux	1	0m47.145s	0m42.142s	0m17.874s	10m22.281s	48m54.360s
linux	2	0m34.025s	1m15.264s	0m17.114s	10m2.393s	42m17.687s
linux	3	0m34.422s	0m38.648s	0m17.946s	10m39.000s	64m12.350s
linux	4	0m33.392s	0m38.055s	0m17.923s	9m55.109s	34m11.330s
linux	5	0m35.212s	0m38.104s	0m18.020s	10m22.907s	53m36.124s
macX86	1	0m38.549s	0m48.825s	0m15.551s	25m38.839s	58m0.272s
macX86	2	0m37.258s	0m49.448s	0m14.868s	24m49.408s	58m7.846s
macX86	3	0m40.010s	0m49.389s	0m16.665s	28m3.805s	58m31.913s
macX86	4	0m37.542s	0m49.476s	0m14.558s	26m37.931s	61m23.751s
macX86	5	0m36.349s	0m50.594s	0m15.352s	29m11.662s	60m21.334s
macArm	1	1m11.502s	1m21.622s	0m31.153s	45m35.930s	129m49.638s
macArm	2	1m7.500s	1m21.795s	0m31.023s	52m41.318s	126m14.780s
macArm	3	1m4.424s	1m22.504s	0m30.280s	48m15.442s	126m51.428s
macArm	4	1m6.613s	1m16.803s	0m30.159s	50m33.918s	124m48.176s
macArm	5	1m8.568s	1m17.859s	0m30.753s	50m19.327s	127m10.421s
